name,telescope,exptime,jd,date,filename,note,nimages
dark_2460291_120s,B&C,120.0,2460291.8959284723,2023-12-13T09:42:23.07,/local/jack/src/Pouakai/output/master/dark/dark_2460291_120s.fits.gz,good,7.0
dark_2460289_60s,B&C,60.0,2460289.11093919,2023-12-10T14:56:47.93,/local/jack/src/Pouakai/output/master/dark/dark_2460289_60s.fits.gz,good,5.0
dark_2460289_300s,B&C,300.0,2460289.1058352315,2023-12-10T14:15:21.26,/local/jack/src/Pouakai/output/master/dark/dark_2460289_300s.fits.gz,good,5.0
dark_2460289_120s,B&C,120.0,2460289.109429375,2023-12-10T14:46:06.06,/local/jack/src/Pouakai/output/master/dark/dark_2460289_120s.fits.gz,good,5.0
dark_2460287_300s,B&C,300.0,2460287.1542011574,2023-12-08T15:42:02.98,/local/jack/src/Pouakai/output/master/dark/dark_2460287_300s.fits.gz,good,3.0
dark_2460286_4s,B&C,4.0,2460286.9932372854,2023-12-08T11:50:43.83,/local/jack/src/Pouakai/output/master/dark/dark_2460286_4s.fits.gz,good,7.0
dark_2460286_3s,B&C,3.0,2460286.9930804064,2023-12-08T11:48:37.75,/local/jack/src/Pouakai/output/master/dark/dark_2460286_3s.fits.gz,good,7.0
dark_2460285_5s,B&C,5.0,2460285.0876086806,2023-12-06T14:11:35.47,/local/jack/src/Pouakai/output/master/dark/dark_2460285_5s.fits.gz,good,3.0
dark_2460285_300s,B&C,300.0,2460285.0311843106,2023-12-07T11:17:36.59,/local/jack/src/Pouakai/output/master/dark/dark_2460285_300s.fits.gz,good,9.0
dark_2460285_120s,B&C,120.0,2460285.00392392,2023-12-05T12:48:30.84,/local/jack/src/Pouakai/output/master/dark/dark_2460285_120s.fits.gz,good,6.0
dark_2460284_60s,B&C,60.0,2460283.5372940004,2023-12-05T12:50:41.41,/local/jack/src/Pouakai/output/master/dark/dark_2460284_60s.fits.gz,good,6.0
dark_2460284_3s,B&C,3.0,2460284.036486652,2023-12-05T12:42:44.66,/local/jack/src/Pouakai/output/master/dark/dark_2460284_3s.fits.gz,good,3.0
dark_2460284_30s,B&C,30.0,2460284.036016975,2023-12-05T12:51:51.91,/local/jack/src/Pouakai/output/master/dark/dark_2460284_30s.fits.gz,good,3.0
dark_2460284_300s,B&C,300.0,2460284.030095602,2023-12-05T12:33:32.53,/local/jack/src/Pouakai/output/master/dark/dark_2460284_300s.fits.gz,good,3.0
dark_2460284_120s,B&C,120.0,2460284.0336903166,2023-12-05T12:48:30.84,/local/jack/src/Pouakai/output/master/dark/dark_2460284_120s.fits.gz,good,3.0
dark_2460284_0s,B&C,0.8,2460284.0298867864,2023-12-05T12:33:00.28,/local/jack/src/Pouakai/output/master/dark/dark_2460284_0s.fits.gz,good,6.0
dark_2460283_60s,B&C,60.0,2460283.039387037,2023-12-04T12:56:43.04,/local/jack/src/Pouakai/output/master/dark/dark_2460283_60s.fits.gz,good,3.0
dark_2460283_240s,B&C,240.0,2460283.036486998,2023-12-04T12:47:11.35,/local/jack/src/Pouakai/output/master/dark/dark_2460283_240s.fits.gz,good,3.0
dark_2460281_300s,B&C,300.0,2460281.992651235,2023-12-03T11:54:35.63,/local/jack/src/Pouakai/output/master/dark/dark_2460281_300s.fits.gz,good,3.0
dark_2460278_8s,B&C,8.0,2460278.1738575227,2023-11-29T15:53:32.53,/local/jack/src/Pouakai/output/master/dark/dark_2460278_8s.fits.gz,good,3.0
dark_2460278_60s,B&C,60.0,2460278.1806300543,2023-11-29T16:03:26.28,/local/jack/src/Pouakai/output/master/dark/dark_2460278_60s.fits.gz,good,3.0
dark_2460278_5s,B&C,5.0,2460278.175801621,2023-11-29T16:25:13.52,/local/jack/src/Pouakai/output/master/dark/dark_2460278_5s.fits.gz,good,5.0
dark_2460278_3s,B&C,3.0,2460278.176453218,2023-11-29T16:28:43.51,/local/jack/src/Pouakai/output/master/dark/dark_2460278_3s.fits.gz,good,5.0
dark_2460278_30s,B&C,30.0,2460278.1814459874,2023-11-29T16:04:36.78,/local/jack/src/Pouakai/output/master/dark/dark_2460278_30s.fits.gz,good,3.0
