name,band,telescope,exptime,jd,date,filename,dark_file,time_diff,nimages,flat_type,note
flat_2459831_60d_i,i,B&C,10.0,2459831,2022-09-08T06:47:41.65,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_i.fits.gz,,,98,,good
flat_2459831_60d_g,g,B&C,2.0,2459831,2022-09-08T18:32:12.11,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_g.fits.gz,,,59,,good
flat_2459831_60d_V,V,B&C,5.0,2459831,2022-09-04T18:38:24.25,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_V.fits.gz,,,42,,good
flat_2459831_60d_SII,SII,B&C,30.0,2459831,2022-09-08T06:37:08.82,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_SII.fits.gz,,,51,,good
flat_2459831_60d_R,R,B&C,1.5,2459831,2022-09-06T06:34:21.51,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_R.fits.gz,,,55,,good
flat_2459831_60d_OIII,OIII,B&C,7.0,2459831,2022-09-02T18:56:31.46,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_OIII.fits.gz,,,71,,good
flat_2459831_60d_Halpha,Halpha,B&C,10.0,2459831,2022-09-04T18:57:36.99,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_Halpha.fits.gz,,,60,,good
flat_2459831_60d_Clear,Clear,B&C,12.0,2459831,2022-09-08T18:17:36.58,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_Clear.fits.gz,,,10,,good
flat_2459831_60d_B,B,B&C,12.0,2459831,2022-09-08T18:28:19.49,/local/jack/src/Pouakai/output/master/flat/flat_2459831_60d_B.fits.gz,,,6,,good
flat_2459830_60d_r,r,B&C,10.0,2459830,2022-09-05T18:32:44.12,/local/jack/src/Pouakai/output/master/flat/flat_2459830_60d_r.fits.gz,,,61,,good
flat_2459830_60d_i,i,B&C,10.0,2459830,2022-09-08T06:47:41.65,/local/jack/src/Pouakai/output/master/flat/flat_2459830_60d_i.fits.gz,,,88,,good
flat_2459830_60d_g,g,B&C,10.0,2459830,2022-09-04T18:32:51.62,/local/jack/src/Pouakai/output/master/flat/flat_2459830_60d_g.fits.gz,,,52,,good
flat_2459830_60d_SII,SII,B&C,30.0,2459830,2022-09-08T06:37:08.82,/local/jack/src/Pouakai/output/master/flat/flat_2459830_60d_SII.fits.gz,,,46,,good
